Company Name,,LTP (Last Traded Price),52 Week High,52 Week Low
Ujjivan Small Finance Bank,,49.97,63.00,36.60
Utkarsh Small Finance Bank,,53.92,68.30,37.20
Unichem Laboratories,,550.25,615.65,367.25
UFLEX,,468.05,499.60,370.95
Unitech Group,,11.72,19.80,1.30
Universal Cables,,748.9,799.00,367.25
UGRO Capital,,278.4,319.15,213.00
Uniparts,,522.9,722.65,454.00
Udaipur Cement Works,,39.92,42.75,23.45
Updater Services,,293.85,384.90,235.30
Uttam Sugar Mills,,372.05,535.80,275.00
Varun Beverages,,1639.25,"1,598.35",755.00
Vedanta,,447.6,506.75,208.00
Vodafone Idea,,16.73,18.40,7.15
Voltas,,1498.5,"1,502.30",745.00
Vedant Fashions,,1147.65,"1,487.90",886.05
Vinati Organics,,1868.95,"1,985.00","1,462.20"
V-Guard Industries,,399.9,414.65,251.50
Vardhman Textiles,,470.75,504.70,334.40
Valor Estate,,202.3,284.90,69.15
Vesuvius,,5489,"5,649.90","2,240.50"
Voltamp Transformers,,11125.9,"12,500.00","3,880.00"
Varroc Engineering,,681.3,698.65,315.00
Vijaya Diagnostic Centre,,793.5,880.00,388.00
VA Tech Wabag,,1125.65,"1,180.60",435.45
VST Industries,,4313.65,"4,522.50","3,159.00"
VIP Industries,,472.85,722.85,428.50
V Mart Retail,,2772.75,"2,849.90","1,595.00"
Vaibhav Global,,332.2,533.00,262.65
VRL Logistics,,592,799.00,511.25
Venus Pipes & Tubes,,2098.3,"2,254.45","1,112.35"
Xpro,,1043.8,"1,297.80",793.55
Xchanging Solutions,,119.13,176.50,65.70
Xelpmoc Design & Tech,,115.73,155.80,73.30
Xpro,,1043.8,"1,297.80",793.55
Xchanging Solutions,,119.13,176.50,65.70
Xelpmoc Design & Tech,,115.73,155.80,73.30
Yes Bank,,23.81,32.85,15.70
Yatharth Hospital,,426.8,504.90,306.10
Yasho Industries,,1890.2,"2,426.65","1,515.00"
Yatra Online,,130.93,194.00,120.00
Yuken,,1292,"1,479.70",596.05
Yaari Digital Integrated Services,,10.76,15.65,6.70
Yudiz Solutions,,67.7,213.80,50.35
Yasons Chemex Care,,25.65,43.00,24.50
Zomato,,186.24,207.20,72.55
Zydus Life Science,,1109.55,"1,172.50",515.60
ZF Commercial,,17315.95,"18,250.00","11,684.05"
Zensar Technologies,,696.45,723.00,376.00
Zee Entertainment,,163.98,299.70,125.50
Zydus Wellness,,1849.8,"1,972.80","1,425.05"
Zen Technologies,,1120.55,"1,130.00",385.00
Zaggle Prepaid Ocean Services,,292.95,389.45,155.30
Zota Healthcare,,619.3,595.00,336.30
Zuari Industries,,324.4,374.20,136.10
Zee Media Corporation,,14.39,18.30,7.80
Zodiac Energy,,621.35,694.95,107.00
Zuari Agro Chemicals,,191.25,258.00,135.30
Zim Laboratories,,101.51,152.70,89.50
Zodiac Clothing,,113.64,151.00,98.05
Zeal Global Services,,188,294.40,142.50
Zee Learn,,7.68,9.70,2.70
Zenith Exports,,355.01,338.11,96.05
Zenith Drugs,,66.75,114.50,52.80
Zenith Steel Pipes & Industries,,8.09,10.15,3.75
