Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Zenith Exports,355.01,338.11,96.05
Zenith Drugs,66.75,114.50,52.80
Zenith Steel Pipes & Industries,8.09,10.15,3.75
Zomato,186.24,207.20,72.55
Zydus Life Science,"1,109.55","1,172.50",515.60
ZF Commercial,"17,315.95","18,250.00","11,684.05"
Zensar Technologies,696.45,723.00,376.00
Zee Entertainment,163.98,299.70,125.50
Zydus Wellness,"1,849.80","1,972.80","1,425.05"
Zen Technologies,"1,120.55","1,130.00",385.00
Zaggle Prepaid Ocean Services,292.95,389.45,155.30
Zota Healthcare,619.30,595.00,336.30
Zuari Industries,324.40,374.20,136.10
Zee Media Corporation,14.39,18.30,7.80
Zodiac Energy,621.35,694.95,107.00
Zuari Agro Chemicals,191.25,258.00,135.30
Zim Laboratories,101.51,152.70,89.50
Zodiac Clothing,113.64,151.00,98.05
Zeal Global Services,188.00,294.40,142.50
Zee Learn,7.68,9.70,2.70
Zenith Exports,355.01,338.11,96.05
Zenith Drugs,66.75,114.50,52.80
Zenith Steel Pipes & Industries,8.09,10.15,3.75
